language_iso	trans_ID	language_english	language_name	version	verses
kxc	KXCBSE	Konso	Konso	BSE # 2001 Edition	7957
kxm	KXMTBS	Khmer, Northern	Khmer, Northern	TBS # 2003 Edition	7938
kyb	KYBTAP	Kalinga, Butbut	Kalinga, Butbut	TAP # 2016 Edition	7952
kyc	KYCPNG	Kyaka	Kyaka	PNG # Bible Society Version	7901
kyf	KYFWBT	Kouya	Kouya	WBT # 2002 Edition	7937
kyq	KYQWYI	Kenga	Kenga	WYI # 2012 Edition	7932
kyu	KYUBSM	Kayah, Western	Kayah, Western	BSM # 2009 Edition	7959
kyz	KYZWBT	Kayabi	Kayabi	WBT # 1999 Edition	7575
kze	KZEWBT	Kosena	Kosena	WBT # 1980 Edition	7930
kzf	KZFLAI	Kaili, Da'a	Kaili, Da'a	LAI # 1998 Today's Da'a Version	7870
kzj	KZJAKK	Kadazan, Coastal	Kadazan, Coastal	AKK # AKK Version	7955
lac	LACTBL	Lacandon	Lacandon	TBL # 1978 Edition	7955
laj	LAJBSU	Lango	Lango	BSU # 1978 Edition	7956
lao	LAOUBS	Lao	ລາວ	UBS # 2011 Edition	7948
lam	LASABT	Lamba for Togo	Lamba for Togo	ABT # 1993 Edition	7939
law	LAWNTM	Lauje	Lauje	NTM # NTM Version	7904
lee	LEEWBT	Lyele	Lyele	WBT # 2001 Edition	7915
lef	LEFTBL	Lelemi	Lelemi	TBL # 1995 Edition	7957
lem	LEMWBT	Nomaande	Nomaande	WBT # 2008 Edition	7956
leu	LEUTBL	Kara (Papua New Guinea)	Kara (Papua New Guinea)	TBL # 1997 Edition	7953
lew	LEWLAI	Ledo Kaili	Ledo Kaili	LAI # 1999 Edition	7953
lex	LEXWBT	Luang	Luang	WBT # 2005 Edition	7950
lgg	LGGBSU	Lugbara	Lugbara	BSU # 1966 Edition	7957
lgl	LGLWYI		Wala	WYI # 2007 Edition	7878
lhu	LHUTBS	Lahu	Lahu	TBS # 1989 Edition	7935
lia	LIABSL	Limba West	Limba West	BSL # 2009 Edition	7923
lif	LIFWBT	Limbu	Limbu	WBT # 2009 Edition	7875
lip	LIPWBT	Sekpele	Sekpele	WBT # 2008 Edition	7955
lis	LISTCM	Lisu	Lisu	TCM # North Thailand Christian Mission	7950
